File Name:,5Km Skryne race.gpx

Split:,Avg Speed(km/h),Pace(m/Km),Elevation(m)
01,17.10,3:30,-5.05
02,14.53,4:07,31.41
03,16.27,3:41,-28.28
04,14.64,4:05,2.81
05,17.18,3:29,-9.98
06,(P)3.75,(P)16:00,-2.24


Split:,Avg Speed(km/h),Pace(m/M),Elevation(m)
01,16.36,5:54,6.90
02,15.15,6:22,-2.43
03,15.68,6:09,-13.66
04,(P)7.89,(P)12:13,-2.14


Total Distance(m):,5097.82
Time(secs):,1229.0
Avg Speed(km/h):,14.93
Avg Mile Pace(m/M):,6:08
Avg Km Pace(m/Km):,3:47
