File Name:,3Km UCD Sprint.gpx

Split:,Avg Speed(km/h),Pace(m/Km),Elevation(m)
01,17.00,3:31,-5.94
02,15.60,3:50,5.69
03,12.95,4:37,-4.77
04,(P)8.74,(P)6:51,1.26


Split:,Avg Speed(km/h),Pace(m/M),Elevation(m)


Total Distance(m):,3016.72
Time(secs):,736.8159129727217
Avg Speed(km/h):,14.74
Avg Mile Pace(m/M):,0:0
Avg Km Pace(m/Km):,4:00
